codigo;disciplina;area;habilidade;tema;dificuldade;local;apoio;enunciado;alternativa_A;alternativa_B;alternativa_C;alternativa_D;gabarito;explicacao;publicada;revisada_humano
ARENA6-LP-001;Língua Portuguesa;Linguagens;EF69LP03;Leitura de notícia;facil;biblioteca;A escola iniciou uma campanha para arrecadar livros infantis. As doações serão recebidas até sexta-feira e destinadas à biblioteca comunitária.;Qual é o fato central do texto?;A escola iniciou uma campanha de arrecadação de livros.;A biblioteca será fechada na sexta-feira.;Os alunos devem comprar livros novos.;A comunidade não poderá participar.;A;O fato principal é o início da campanha de arrecadação de livros.;True;False
ARENA6-LP-002;Língua Portuguesa;Linguagens;EF69LP03;Leitura de notícia;facil;biblioteca;Depois de uma semana de chuvas, a ponte do bairro foi reaberta nesta manhã. Técnicos afirmaram que a estrutura está segura para pedestres e veículos leves.;O que aconteceu nesta manhã?;Começou uma semana de chuvas.;A ponte do bairro foi reaberta.;A ponte foi construída.;Os veículos leves foram proibidos.;B;O texto informa que a ponte foi reaberta nesta manhã.;True;False
ARENA6-LP-003;Língua Portuguesa;Linguagens;EF67LP28;Compreensão de narrativa;facil;biblioteca;Rafaela guardou o guarda-chuva na mochila. Ao sair de casa, viu o céu limpo e sorriu. Poucos minutos depois, nuvens escuras cobriram a rua.;Por que ter levado o guarda-chuva foi uma atitude prudente?;Porque o objeto deixaria a mochila mais pesada.;Porque havia possibilidade de chuva.;Porque ela pretendia emprestá-lo.;Porque o céu continuou limpo o dia inteiro.;B;As nuvens escuras indicam possibilidade de chuva, por isso o guarda-chuva poderia ser útil.;True;False
ARENA6-LP-004;Língua Portuguesa;Linguagens;EF67LP28;Compreensão de narrativa;facil;biblioteca;João encontrou uma carteira no pátio e a entregou à coordenação. Mais tarde, a dona do objeto agradeceu por recuperar seus documentos.;Qual característica de João aparece no texto?;Desonestidade.;Indiferença.;Honestidade.;Impaciência.;C;Ao devolver a carteira encontrada, João demonstrou honestidade.;True;False
ARENA6-LP-005;Língua Portuguesa;Linguagens;EF67LP28;Inferência;facil;biblioteca;A sala ficou silenciosa quando a diretora entrou com uma caixa coberta por um pano. Todos se inclinaram para enxergar melhor.;O comportamento dos estudantes revela principalmente:;Curiosidade.;Sono.;Raiva.;Desinteresse.;A;Inclinar-se para ver melhor indica curiosidade sobre o conteúdo da caixa.;True;False
ARENA6-LP-006;Língua Portuguesa;Linguagens;EF67LP28;Inferência;facil;biblioteca;Pedro apertou o passo, olhou várias vezes para o relógio e entrou na escola quando o sinal começou a tocar.;É possível concluir que Pedro:;Chegou muito cedo.;Estava preocupado em não se atrasar.;Não sabia onde ficava a escola.;Queria voltar para casa.;B;Olhar o relógio e acelerar o passo indicam preocupação com o horário.;True;False
ARENA6-LP-007;Língua Portuguesa;Linguagens;EF69LP47;Elementos da narrativa;facil;biblioteca;Naquela tarde, no quintal da avó, Clara descobriu uma pequena caixa enterrada perto da mangueira.;Qual expressão indica o lugar da narrativa?;Naquela tarde.;Clara descobriu.;No quintal da avó.;Uma pequena caixa.;C;“No quintal da avó” apresenta o espaço em que a ação ocorreu.;True;False
ARENA6-LP-008;Língua Portuguesa;Linguagens;EF69LP47;Elementos da narrativa;facil;biblioteca;Quando a luz acabou, Lucas acendeu uma lanterna e continuou lendo o livro.;Qual acontecimento muda a situação inicial?;Lucas estava lendo.;A luz acabou.;O livro era interessante.;A lanterna era nova.;B;A falta de energia altera a situação e leva Lucas a usar a lanterna.;True;False
ARENA6-LP-009;Língua Portuguesa;Linguagens;EF67LP06;Efeito de sentido;medio;biblioteca;"O corredor estava completamente silencioso; ouvia-se apenas o tic-tac do relógio.";A expressão “apenas o tic-tac” reforça a ideia de:;Barulho intenso.;Silêncio do ambiente.;Música no corredor.;Conversa entre alunos.;B;Ouvir somente o relógio enfatiza que havia muito silêncio.;True;False
ARENA6-LP-010;Língua Portuguesa;Linguagens;EF67LP06;Efeito de sentido;medio;biblioteca;A atleta cruzou a linha de chegada voando.;Nesse contexto, a palavra “voando” indica que a atleta:;Estava em um avião.;Correu muito rapidamente.;Saltou sobre a linha.;Usava asas.;B;A palavra foi usada em sentido figurado para indicar grande velocidade.;True;False
